N,P,K,temperature,humidity,rainfall,ph,soil_type,month,season,label
90,119,45,34.95,66.45,239.91,6.23,clay,3,zaid,maize
102,57,180,35.43,54.59,272.89,4.94,clay,3,zaid,maize
114,95,197,18.49,50.0,239.49,7.29,sandy,2,rabi,wheat
51,123,90,32.79,37.53,112.75,7.19,clay,2,rabi,wheat
123,46,156,28.76,30.51,286.32,5.42,sandy,11,rabi,rice
13,24,70,36.81,47.59,261.36,7.44,clay,5,zaid,maize
16,103,24,17.71,31.59,269.59,4.79,loamy,9,kharif,rice
113,8,88,29.68,32.66,44.35,6.59,sandy,11,rabi,wheat
46,49,191,39.53,33.68,292.06,5.72,clay,9,kharif,rice
15,84,109,26.7,70.25,264.62,7.78,loamy,2,rabi,rice
93,141,105,14.21,33.42,100.32,5.19,clay,2,rabi,wheat
124,20,138,32.0,94.1,54.17,5.44,clay,1,rabi,wheat
36,46,146,13.41,80.15,68.67,6.69,clay,8,kharif,maize
45,67,65,12.49,60.87,244.87,7.22,loamy,8,kharif,cotton
87,50,44,28.49,72.72,66.05,4.85,sandy,9,kharif,maize
39,18,19,36.95,76.85,204.23,7.1,clay,12,rabi,wheat
120,27,149,23.78,51.45,140.89,5.21,clay,4,zaid,maize
59,6,105,22.95,56.05,54.5,6.41,sandy,9,kharif,maize
132,68,45,20.47,57.4,272.33,8.27,loamy,6,kharif,cotton
95,40,125,11.85,71.21,225.85,7.53,loamy,10,rabi,wheat
59,78,186,12.73,47.82,28.39,8.28,loamy,8,kharif,cotton
72,143,90,23.47,31.88,78.03,7.52,clay,6,kharif,maize
51,7,10,23.7,33.18,269.65,6.94,sandy,5,zaid,maize
32,52,55,34.62,90.09,19.11,8.3,sandy,11,rabi,rice
136,40,76,34.02,74.93,227.2,6.24,sandy,10,rabi,rice
22,76,147,33.21,54.38,54.12,7.96,loamy,2,rabi,cotton
133,140,109,19.97,55.93,37.85,6.35,sandy,11,rabi,wheat
123,87,149,28.09,79.35,260.18,7.57,clay,4,zaid,maize
129,29,7,10.73,62.96,11.72,7.9,loamy,11,rabi,wheat
14,32,107,15.61,53.46,250.19,5.17,sandy,3,zaid,maize
17,103,39,18.32,67.36,117.52,6.68,sandy,12,rabi,maize
