nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
85,35,45,28,75,6.8,180,rice
90,40,40,26,80,6.5,200,rice
95,38,42,27,82,6.6,220,rice
20,30,30,32,55,6.0,45,maize
25,28,32,33,52,6.2,50,maize
22,32,28,31,58,5.9,40,maize
40,60,20,24,70,6.8,90,chickpea
45,55,25,23,72,6.9,85,chickpea
38,58,22,25,68,7.0,95,chickpea
120,20,200,30,65,5.5,130,cotton
115,22,195,31,62,5.6,125,cotton
125,18,205,29,68,5.4,140,cotton
60,25,80,22,85,6.2,250,sugarcane
65,28,75,24,80,6.4,240,sugarcane
55,22,85,21,88,6.0,260,sugarcane
30,45,35,20,78,7.2,110,wheat
35,42,38,19,75,7.3,105,wheat
28,48,32,21,80,7.1,115,wheat
100,15,180,35,55,5.0,80,groundnut
95,18,175,34,58,5.2,75,groundnut
105,12,185,36,52,4.9,85,groundnut
50,35,60,29,70,6.5,160,tea
55,32,65,28,72,6.4,170,tea
48,38,58,30,68,6.6,155,tea
